epoch,train_loss,validation_loss,selection_score,source_ap,transit_ap,victim_ap,path_ap,learning_rate,best_epoch,early_stop_counter,epoch_seconds,maximum_preclip_gradient_norm,train_source_loss,validation_source_loss,train_transit_loss,validation_transit_loss,train_victim_loss,validation_victim_loss,train_path_loss,validation_path_loss
35,0.7677691902686996,1.042262153150478,0.6485722797812967,0.6455859039548874,0.6333738385322687,0.6659112269913608,0.6503762110696157,0.0005,33,2,23.55738115310669,116.36851501464844,0.13828417501503307,0.26431539510097235,0.21763263970411303,0.3121111173311184,0.11853388640439738,0.13666609698480725,0.2933184889778085,0.329169538971108
36,0.7706961463305941,0.8606302353005147,0.6457996169867563,0.6443765135187756,0.6379936738268337,0.6533397494191618,0.6482665355981235,0.0005,33,3,23.185219526290894,62.94669723510742,0.14049289771804985,0.15537938304331111,0.21928858946877922,0.2619900844960282,0.11424765117336691,0.13091723744592143,0.29666700732564244,0.31234353590437886
37,0.7451895418582816,0.953438345499879,0.6539121610111787,0.6542854011539908,0.6298323298647761,0.6769287085078289,0.6546814053591505,0.0005,37,0,25.145124912261963,72.22676086425781,0.1373521304464156,0.19560750218948034,0.20330148273859427,0.3175929962166158,0.1158459221622366,0.12397062968781472,0.2886900079843528,0.31626720911089334
38,0.7457277366614201,0.9555475724002258,0.6535324548792905,0.6585765472764356,0.6440063173262969,0.654542932136702,0.6566108916530506,0.0005,37,1,24.826565742492676,48.69740295410156,0.138063062642121,0.2007005264552008,0.20779689487684763,0.29685276421679047,0.11254534640803415,0.1277523295784971,0.28732243118942474,0.33024195289550917
39,0.7425166157031825,1.020439101666174,0.6492877439368825,0.6413279559335833,0.6392633227062368,0.665034126536699,0.6540749742303679,0.0005,37,2,24.377973318099976,71.05577087402344,0.1357262405986488,0.22353920774441569,0.20409763770879472,0.3186809194998609,0.11337893400091206,0.13354323931885254,0.2893138011810809,0.34467573039528665
40,0.7310998275499301,0.9969040193472481,0.6533134847065879,0.6482029768700905,0.6410844556339731,0.6718407505967077,0.6531064504394527,0.0005,37,3,24.968875408172607,58.94534683227539,0.13491874507355778,0.17334415096585018,0.20025756384890567,0.3473363528658528,0.11155174312020397,0.13498277743352935,0.2843717767375227,0.34124073664042837
41,0.7296227482692907,1.1021716443971656,0.6564453390470548,0.6531849844329953,0.6326074170703564,0.6837578553825217,0.6569926280196836,0.0005,41,0,25.022401332855225,68.5924072265625,0.1344341652114941,0.21018787875942802,0.1999725258527404,0.4053790616049963,0.11262501827229715,0.13097266432273738,0.2825910380043832,0.35563204130145937
42,0.7281430656250134,1.144964327757386,0.638665275799199,0.6297567144095073,0.6276274172917068,0.6600502597417592,0.6390942110899013,0.0005,41,1,24.60548424720764,37.24945831298828,0.13281926131535088,0.21242434882569586,0.19833310008630056,0.3703319870594456,0.11308078633770684,0.1872414742545302,0.28390991829000783,0.3749665150544957
43,0.7320016673359255,1.0594798772575602,0.6530362691264671,0.6544753134953991,0.6319607701253105,0.6711436934518783,0.6545877959177505,0.0005,41,2,25.41208028793335,60.988487243652344,0.13473003775784362,0.1840506575687635,0.19951325188661231,0.39055150490144735,0.11241652741036467,0.12896967657376676,0.28534185164494574,0.35590803470952603
44,0.7100144643534569,1.3062826370675293,0.6522678867202216,0.6604498944426482,0.6190163497248924,0.674489513736103,0.6537822626108917,0.0005,41,3,24.65122127532959,30.410341262817383,0.1310017649386426,0.2016342738655183,0.19072852070772692,0.5370808731785964,0.10994426864356892,0.18556973421862907,0.27833990968167704,0.38199775969540634
45,0.7159219910191711,1.4241902085251887,0.6391331803080633,0.6349382183037869,0.6153142593216403,0.6660885301121893,0.6415050872923491,0.0005,41,4,25.894808530807495,53.841270446777344,0.13033759625585534,0.33032607541230447,0.19631278927794504,0.4425221781102443,0.10942001111485397,0.18714457335447748,0.27985159092311274,0.4641973905331939
46,0.7144747285734434,1.214277248881938,0.640805614226243,0.6339800952339731,0.6204627724616377,0.6678938481821608,0.6426121524755074,0.0005,41,5,25.185466051101685,104.26871490478516,0.1329576425649141,0.20849152432699922,0.1933052131136151,0.4585648995501823,0.1104150381490027,0.15229565841484802,0.27779683782910075,0.3949251673535217
47,0.6768774482763041,1.1241688317266003,0.6618726762475959,0.6585629041405687,0.6393537625512637,0.6884893744177139,0.6617151038159043,0.00025,47,0,25.096225023269653,35.31741714477539,0.12564686015178217,0.20688018948791279,0.1780648113854368,0.4104638112111833,0.10549755909626185,0.13466209333061716,0.26766821857417245,0.37216274529733573
48,0.6733154622987144,1.0691154432479448,0.657442102420066,0.6504357549100188,0.6302902083472721,0.6932334265403176,0.6571523361258146,0.00025,47,1,25.44421887397766,69.46923828125,0.1237060822628457,0.20304420400092124,0.1787751120479941,0.38561874815758845,0.10492732804401861,0.1390517244013181,0.26590693926501496,0.341400763693136
49,0.6670178498284791,1.2611056601255182,0.65651205119005,0.6490671009650055,0.6375430958528135,0.6843781706892842,0.6565580213251195,0.00025,47,2,25.7861065864563,94.3472671508789,0.12310009576271731,0.2580317099356255,0.1779064962797187,0.4398585790589851,0.10380394652053038,0.15730276026336018,0.26220731183169144,0.40591261563477693
50,0.6780965108965651,1.1514869503591252,0.6605419763064745,0.6592694765808661,0.6354130434477824,0.6888245293147561,0.6585087007079001,0.00025,47,3,24.027641534805298,53.002784729003906,0.12558592923187942,0.25318741075228307,0.1809225527013401,0.395638456765567,0.10492812250148977,0.13870715699128874,0.26665990348527624,0.36395392495553613
51,0.6559109917062957,1.0899779440342694,0.6595673481465513,0.658054998316941,0.6371648786565126,0.6851858481583121,0.6578158347388141,0.00025,47,4,25.24681329727173,50.594749450683594,0.12119157436481309,0.20337015698696004,0.1719527196210135,0.3911764247445235,0.1039755625212114,0.13790877332784815,0.2587911373186053,0.3575225914727378
52,0.6614866546896386,1.144810386848937,0.6583258730197286,0.6559615123384628,0.6402043015984824,0.6794607860244799,0.6581057370622456,0.00025,47,5,24.63400173187256,60.74482727050781,0.12226224989825583,0.1788785695496799,0.17554903105319683,0.4862545661147717,0.10293926330378267,0.13675066280639034,0.26073611404527924,0.34292658817113436
53,0.6395672379342492,1.4970644890576943,0.6593788324812216,0.6548817345589073,0.6372191825531388,0.6879527455886405,0.6581066503905233,0.000125,47,6,23.81121301651001,36.534645080566406,0.11873523318209948,0.2811309574968818,0.16668715771173317,0.5833074185107555,0.10087429841900858,0.18566911659021487,0.25327054994107584,0.4469569860594787
54,0.6359990309633259,1.1906442088033353,0.664142158636524,0.6593548757668819,0.6419383987260658,0.6938218915963064,0.6619781166293323,0.000125,54,0,24.80125641822815,43.74388885498047,0.11784401666606091,0.21394510055258203,0.16540638283729703,0.47923757555498475,0.10040834372370422,0.13869580573201332,0.2523402888632057,0.3587657400474695
55,0.6359698983373404,1.165061463798143,0.6679672589511314,0.67146136301523,0.6417441445890637,0.6936834982730766,0.6633596966551367,0.000125,55,0,24.771196842193604,35.193721771240234,0.1177659155552731,0.20139419937346933,0.1653005782960469,0.4677034583428011,0.10069834697702043,0.14066604206083988,0.25220505675593546,0.3552977669589212
56,0.6319683485719139,1.344275208116339,0.6631579772759488,0.6626983996584929,0.6373080105252302,0.6910955070677377,0.6612378899007947,0.000125,55,1,24.81872868537903,46.99745559692383,0.11639014818416715,0.24683558427054306,0.16545896712721703,0.5441347450412819,0.09992973197940593,0.15103864624125748,0.2501895019477536,0.40226623602449363
57,0.6263455609379168,1.3825770289200627,0.6623288352297962,0.6587235329059523,0.6347522194910163,0.6960994310818855,0.6599943135739256,0.000125,55,2,24.556890726089478,36.07441329956055,0.11594504875723491,0.2652453976953319,0.16291661278720293,0.5354240739439753,0.09891116308391398,0.16809396908201021,0.24857273725800996,0.41381360226968544
